dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
fiqa,2724,0.0,1.0,0.3634121202320732,1.0,2
fiqa,2737,0.0,1.0,0.3010299956639812,1.0,1
fiqa,2747,0.03,0.6309297535714575,0.16999161628691403,0.5,1
fiqa,2749,0.03,0.8772153153380493,0.6131471927654584,0.5706417189553201,2
fiqa,2790,0.45,0.5104885769770852,0.2791272615341233,0.481033582600009,7
fiqa,2801,0.51,0.7631539858737962,0.7406907593850465,0.7104137724990198,2
fiqa,2856,0.0,0.6878212103172285,0.10253313861822189,0.6878212103172285,4
fiqa,2857,0.0,0.7886184945379714,0.23225606734760768,0.7886184945379714,4
fiqa,2880,0.0,1.0,1.0,1.0,1
fiqa,2885,0.0,0.0,0.0,0.0,5
fiqa,2891,0.0,1.0,1.0,1.0,1
fiqa,2895,0.0,0.0,0.0,0.0,2
fiqa,2903,0.0,0.2,0.0,0.2,1
fiqa,2923,0.04,0.9430119203755281,0.32824092160554086,0.9116801504786773,5
fiqa,2964,0.35,0.22255140148953514,0.09843715529896814,0.21784348032865933,2
fiqa,2968,0.0,1.0,0.4173549207639555,1.0,2
fiqa,2994,0.09,0.2960819109658652,0.10523285614729473,0.18154179253735267,3
fiqa,3006,0.02,0.4810216676372163,0.09546043308946733,0.37097190725510776,6
fiqa,3008,0.0,0.6891287970147896,0.14889450902363094,0.6891287970147896,4
fiqa,3014,0.0,0.8503449055347546,0.09671320180863541,0.8503449055347546,2
fiqa,3033,0.03,0.778842958530688,0.2530962207963195,0.7741900178546666,2
fiqa,3039,0.13,0.5,0.38685280723454163,0.3333333333333333,1
fiqa,3049,0.18,0.7777561005720968,0.284025641806933,0.7257807347931126,4
fiqa,3051,0.0,1.0,0.7977228895450266,1.0,2
fiqa,3067,0.0,0.0,0.0,0.0,2
fiqa,3085,0.0,0.9197207891481876,0.0,0.9197207891481876,2
fiqa,3091,0.0,0.9700138757748403,0.33606787251152914,0.9700138757748403,7
fiqa,3103,0.0,1.0,0.38685280723454163,1.0,1
fiqa,3115,0.37,0.6105858728157117,0.5466073273058304,0.5943907508440193,6
fiqa,3125,0.0,1.0,0.3562071871080222,1.0,1
fiqa,3148,0.02,0.781391008362418,0.5531464700081437,0.7578792555683164,5
fiqa,3149,0.23,0.33261040057006236,0.1710330840677181,0.3065735963827292,2
fiqa,3177,0.91,0.3733736210715119,0.2730319139583114,0.34182151139256395,3
fiqa,3179,0.2,0.8175295903539445,0.4676164214719373,0.7903864795495061,2
fiqa,3186,0.99,0.8503449055347546,0.8503449055347546,0.6131471927654584,2
fiqa,3189,0.43,0.1289509357448472,0.09516569455568205,0.12052121300895162,2
fiqa,3254,0.0,0.8758330319477191,0.5745115821700512,0.8758330319477191,3
fiqa,3264,0.25,0.9828920819566879,0.2304885828205688,0.694763514416702,4
fiqa,3357,0.01,1.0,1.0,0.6309297535714575,1
fiqa,3369,0.69,0.17595405549734558,0.11183279366207612,0.13418189994368512,6
fiqa,3394,0.0,0.8318724637288826,0.0,0.8318724637288826,4
fiqa,3404,0.34,0.837978053109892,0.12755809147698294,0.7237179486563379,7
fiqa,3405,0.96,0.2103099178571525,0.2103099178571525,0.0,1
fiqa,3446,0.0,0.839360237941165,0.38397577034290414,0.839360237941165,5
fiqa,3451,0.12,0.6323512686013637,0.05403014065980575,0.6290499030798696,7
fiqa,3453,0.16,0.9197207891481876,0.48381288316677695,0.8503449055347546,2
fiqa,3480,0.0,1.0,0.8318724637288826,1.0,4
fiqa,3490,0.0,0.23137821315975915,0.0,0.23137821315975915,1
fiqa,3500,0.78,0.6932569326819662,0.39527647659807363,0.6251084167439134,6
fiqa,3503,0.0,0.8897123726051978,0.39298627678171827,0.8897123726051978,7
fiqa,3512,0.0,0.8503449055347546,0.38685280723454163,0.8503449055347546,2
